County,% at least 1 dose,% complete,Calc- Initiation or Full Coverage,Number complete for map,Latitude (generated),Longitude (generated),Number With One Dose,Number With Two Doses,Popcount
Iron County,35.40%,26.30%,35.45%,1498,46.287,-90.2401,2016,1491,5687
Iowa County,35.50%,22.10%,35.50%,5242,43.0094,-90.1334,8406,5119,23678
Green Lake County,28.40%,19.10%,28.36%,3615,43.8078,-89.0268,5364,3262,18913
Green County,33.00%,19.80%,33.00%,7313,42.6775,-89.6024,12195,7206,36960
Grant County,27.20%,19.10%,27.20%,9843,42.8621,-90.7628,13992,9768,51439
Forest County,29.90%,22.90%,29.90%,2066,45.729,-88.8616,2692,2061,9004
Fond du Lac County,26.20%,17.40%,26.17%,18018,43.7377,-88.5229,27062,16663,103403
Florence County,25.90%,20.70%,25.91%,888,45.8674,-88.3756,1113,886,4295
Eau Claire County,31.50%,21.60%,31.47%,22567,44.7306,-91.286,32934,20528,104646
Dunn County,23.10%,14.50%,23.10%,6563,44.9461,-91.8932,10478,6453,45368
Douglas County,30.40%,15.30%,30.44%,6590,46.4537,-91.9223,13134,6461,43150
Door County,40.90%,24.10%,40.90%,6655,44.9881,-87.267,11316,6535,27668
Dodge County,23.50%,14.40%,23.52%,12619,43.413,-88.7032,20656,12234,87839
Dane County,36.30%,20.90%,36.31%,114496,43.073,-89.4247,198510,101839,546695
Crawford County,30.70%,20.30%,30.74%,3275,43.2104,-90.8849,4959,3007,16131
Columbia County,30.80%,19.50%,30.83%,11207,43.4614,-89.3035,17739,10896,57532
Clark County,18.30%,11.70%,18.29%,4052,44.7321,-90.6192,6360,3824,34774
Chippewa County,29.50%,19.40%,29.51%,12535,45.0767,-91.2876,19081,12148,64658
Calumet County,26.20%,15.40%,26.16%,7691,44.0612,-88.2235,13103,7146,50089
Burnett County,28.60%,16.20%,28.60%,2504,45.8994,-92.363,4409,2492,15414
Buffalo County,31.30%,20.20%,31.30%,2634,44.3147,-91.722,4079,2586,13031
Brown County,28.20%,17.00%,28.19%,44961,44.4646,-87.9779,74570,43228,264542
Bayfield County,43.40%,30.90%,43.42%,4643,46.5601,-91.2402,6528,4337,15036
Barron County,27.50%,17.50%,27.45%,7896,45.4265,-91.8486,12421,7583,45244
Ashland County,36.40%,24.10%,36.36%,3757,46.3491,-90.7366,5658,3681,15562
Adams County,27.50%,17.80%,27.49%,3607,43.9464,-89.7748,5558,3438,20220
Unknown,,,,5909,,,13897,5453,
